TCS #, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,Peak_Hr_Vehicle_Volume,Peak_Hr_Pedestrian_Volume,Year,Day
2, JARVIS ST , FRONT ST E ,11/15/1948,43.649418,-79.371446,06-21-2017,15662,13535,2017,Wednesday
3, KING ST E , JARVIS ST ,08/23/1950,43.6504606,-79.3719239,09-17-2016,12960,7333,2016,Saturday
4, JARVIS ST , ADELAIDE ST E ,09/12/1958,43.6515337,-79.37236,11-08-2016,17770,7083,2016,Tuesday
5, JARVIS ST , RICHMOND ST E ,04/21/1962,43.6527176,-79.372824,12-08-2015,19678,4369,2015,Tuesday
6, JARVIS ST , QUEEN ST E ,08/24/1928,43.653704,-79.373238,09-17-2016,14487,3368,2016,Saturday
7, JARVIS ST , SHUTER ST ,11/18/1948,43.655357,-79.373862,11-08-2016,15846,3747,2016,Tuesday
8, JARVIS ST , DUNDAS ST E ,06/21/1928,43.657052,-79.374531,06-27-2017,17835,5858,2017,Tuesday
9, JARVIS ST , GERRARD ST E ,07/14/1941,43.660432,-79.3758537,11-01-2016,18196,6493,2016,Tuesday
10, JARVIS ST , CARLTON ST ,06/28/1928,43.66242,-79.3767079,01-21-2017,14222,6165,2017,Saturday
11, JARVIS ST , WELLESLEY ST E ,09/28/1948,43.6662894,-79.378325,11-01-2016,18163,5213,2016,Tuesday
12, JARVIS ST , ISABELLA ST ,09/13/1960,43.668869,-79.3794158,11-01-2016,15197,2713,2016,Tuesday
13, MOUNT PLEASANT RD , CHARLES ST E ,05/23/1950,43.6699892,-79.3799226,11-01-2016,16280,2976,2016,Tuesday
14, BLOOR ST E , TED ROGERS WAY ,03/28/1951,43.6715773,-79.38052,01-11-2018,15844,9810,2018,Thursday
15, CHURCH ST , FRONT ST E ,04/24/1950,43.64851318,-79.37383354,04-20-2015,10467,7381,2015,Monday
16, KING ST E , CHURCH ST ,01/10/1928,43.6499164,-79.374409,11-08-2016,12017,20866,2016,Tuesday
17, CHURCH ST , ADELAIDE ST E ,11/22/1948,43.651173,-79.374925,11-08-2016,13816,9692,2016,Tuesday
18, CHURCH ST , RICHMOND ST E ,11/22/1948,43.652441,-79.375448,11-08-2016,10374,7179,2016,Tuesday
19, QUEEN ST E , CHURCH ST ,08/24/1983,43.65317,-79.375754,11-08-2016,13867,11799,2016,Tuesday
20, CHURCH ST , SHUTER ST ,11/18/1948,43.654817,-79.376441,11-08-2016,11028,6952,2016,Tuesday
21, DUNDAS ST E , CHURCH ST ,12/17/1952,43.656499,-79.377127,04-13-2015,13764,10302,2015,Monday
22, CHURCH ST , GERRARD ST E ,07/18/1941,43.659858,-79.378522,11-08-2016,13437,15840,2016,Tuesday
23, CHURCH ST , CARLTON ST ,02/17/1932,43.661871,-79.379335,01-28-2017,11648,11072,2017,Saturday
24, CHURCH ST , WELLESLEY ST E ,07/18/1941,43.6657034,-79.380928,01-18-2017,12231,12520,2017,Wednesday
25, BLOOR ST E , CHURCH ST ,02/19/1932,43.6710224,-79.383123,01-11-2018,18339,27313,2018,Thursday
26, ADELAIDE ST E , VICTORIA ST ,09/27/1928,43.6506539,-79.377248,06-13-2017,9968,18326,2017,Tuesday
27, VICTORIA ST , RICHMOND ST E ,11/03/1927,43.6519522,-79.377756,06-15-2017,11767,10589,2017,Thursday
28, QUEEN ST E , VICTORIA ST ,11/03/1927,43.6526703,-79.378066,06-14-2017,10087,24100,2017,Wednesday
29, YONGE ST , FRONT ST ,08/24/1928,43.646846,-79.376931,09-17-2016,10996,10950,2016,Saturday
30, YONGE ST , WELLINGTON ST ,01/06/1964,43.6478484,-79.377351,05-06-2014,13620,26656,2014,Tuesday
31, YONGE ST , KING ST ,11/03/1927,43.6491624,-79.377904,09-17-2016,10911,14579,2016,Saturday
32, YONGE ST , ADELAIDE ST ,01/10/1928,43.650419,-79.378436,09-17-2016,12454,11224,2016,Saturday
33, YONGE ST , RICHMOND ST ,11/03/1927,43.651697,-79.378965,09-17-2016,9390,19530,2016,Saturday
34, YONGE ST , QUEEN ST ,11/03/1927,43.6524209,-79.379276,09-17-2016,10956,21936,2016,Saturday
35, YONGE ST , SHUTER ST ,03/12/1959,43.654066,-79.379957,01-17-2017,9525,15491,2017,Tuesday
36, YONGE ST , DUNDAS ST ,04/04/1927,43.656326,-79.380912,04-11-2015,10925,34615,2015,Saturday
37, YONGE ST , GERRARD ST ,07/09/1929,43.6590897,-79.382096,11-05-2016,10019,21562,2016,Saturday
38, YONGE ST , CARLTON ST ,02/18/1932,43.6613687,-79.383094,05-05-2014,13438,32030,2014,Monday
39, YONGE ST , WELLESLEY ST ,09/30/1948,43.6649351,-79.384558,11-05-2016,9051,19591,2016,Saturday
40, BLOOR ST , YONGE ST ,08/28/1925,43.670229,-79.386767,01-11-2018,14398,23335,2018,Thursday
41, YONGE ST , CHURCH ST ,12/03/1932,43.672879,-79.387845,11-05-2016,15532,7870,2016,Saturday
42, YONGE ST , AYLMER AVE ,11/19/1963,43.6756028,-79.38895,11-12-2016,13870,3434,2016,Saturday
43, YONGE ST , CRESCENT RD ,10/16/1957,43.6769762,-79.389534,11-12-2016,10193,3758,2016,Saturday
44, YONGE ST , MACPHERSON AVE ,04/10/1948,43.6791392,-79.390424,04-25-2012,15632,4127,2012,Wednesday
45, YONGE ST , SHAFTESBURY AVE ,12/05/1955,43.6820226,-79.391574,05-06-2014,14363,6199,2014,Tuesday
46, YONGE ST , ST CLAIR AVE ,04/05/1927,43.688075,-79.394098,05-03-2014,20437,10303,2014,Saturday
47, YONGE ST , CHAPLIN CRES ,06/14/1930,43.6982977,-79.396601,01-24-2018,19703,18330,2018,Wednesday
48, YONGE ST , MANOR RD ,12/11/1956,43.702508,-79.397458,08-19-2009,14040,3776,2009,Wednesday
49, YONGE ST , EGLINTON AVE ,08/21/1929,43.7067501,-79.398311,05-03-2014,23360,20902,2014,Saturday
50, YONGE ST , BROADWAY AVE ,02/12/1957,43.709554,-79.398943,05-03-2014,16937,14176,2014,Saturday
51, YONGE ST , CASTLEFIELD AVE ,08/21/1929,43.7118551,-79.399437,07-10-2012,15456,3080,2012,Tuesday
52, YONGE ST , BLYTHWOOD RD ,08/12/1954,43.716605,-79.400452,04-23-2012,19891,1438,2012,Monday
53, YONGE ST , GLENGROVE AVE ,07/06/1961,43.7195544,-79.40109,08-19-2009,14632,1311,2009,Wednesday
54, YONGE ST , CHATSWORTH DR ,07/17/1930,43.721971,-79.401557,04-27-2011,18003,1409,2011,Wednesday
55, YONGE ST , LAWRENCE AVE ,01/03/1941,43.7251031,-79.402193,10-03-2017,24489,9198,2017,Tuesday
56, YONGE ST , RANLEIGH AVE ,08/24/1929,43.7278642,-79.40293,06-27-2011,18308,5040,2011,Monday
57, YONGE ST , FAIRLAWN AVE ,08/29/1956,43.730913,-79.403788,05-06-2014,19161,3893,2014,Tuesday
58, YONGE ST , YONGE BLVD ,10/12/1955,43.7343677,-79.404585,05-05-2014,24567,2215,2014,Monday
59, BAY ST , FRONT ST W ,09/18/1928,43.645996,-79.379115,04-22-2009,18965,17115,2009,Wednesday
60, BAY ST , WELLINGTON ST W ,09/28/1928,43.647345,-79.379702,08-12-2009,16188,32319,2009,Wednesday
61, BAY ST , KING ST W ,11/03/1927,43.648653,-79.380268,11-10-2016,15543,47561,2016,Thursday
62, BAY ST , ADELAIDE ST W ,09/26/1928,43.649876,-79.380823,11-10-2016,16489,28424,2016,Thursday
63, BAY ST , RICHMOND ST W ,12/30/1930,43.6512244,-79.381452,11-10-2016,10403,26445,2016,Thursday
64, BAY ST , QUEEN ST W ,11/03/1927,43.65189,-79.381698,11-10-2016,15397,20612,2016,Thursday
65, BAY ST , ALBERT ST ,11/22/1948,43.6529652,-79.382631,11-10-2016,9430,9629,2016,Thursday
66, DUNDAS ST W , BAY ST ,06/28/1928,43.655721,-79.383734,04-13-2015,16598,31918,2015,Monday
67, BAY ST , GERRARD ST W ,04/07/1941,43.658496,-79.384865,07-23-2009,19660,12211,2009,Thursday
68, BAY ST , COLLEGE ST ,01/28/1928,43.6608138,-79.385857,07-19-2011,17491,24779,2011,Tuesday
69, BAY ST , WELLESLEY ST W ,12/30/1930,43.664366,-79.387151,11-10-2016,16636,18418,2016,Thursday
70, BAY ST , BLOOR ST W ,07/21/1928,43.669701,-79.389468,01-11-2018,19112,29629,2018,Thursday
71, YORK ST , WELLINGTON ST W ,06/22/1928,43.6466383,-79.383007,06-21-2017,5575,32338,2017,Wednesday
72, KING ST W , YORK ST ,11/03/1927,43.6479338,-79.383531,11-10-2016,12474,20091,2016,Thursday
73, YORK ST , ADELAIDE ST W ,11/06/1928,43.649196,-79.384074,07-27-2010,14130,9142,2010,Tuesday
74, YORK ST , RICHMOND ST W ,11/06/1928,43.6505005,-79.38462,01-18-2017,9677,11122,2017,Wednesday
75, UNIVERSITY AVE , YORK ST ,06/14/1928,43.645291,-79.382476,09-17-2016,16857,17564,2016,Saturday
76, UNIVERSITY AVE , WELLINGTON ST W ,02/17/1932,43.6464054,-79.384076,04-20-2015,18390,18152,2015,Monday
77, UNIVERSITY AVE , KING ST W ,02/15/1932,43.6476553,-79.384788,09-17-2016,16694,8406,2016,Saturday
78, UNIVERSITY AVE , ADELAIDE ST W ,12/02/1932,43.648857,-79.38548,09-17-2016,20740,5715,2016,Saturday
79, UNIVERSITY AVE , RICHMOND ST W ,02/15/1932,43.6501396,-79.38624,09-17-2016,20727,5525,2016,Saturday
80, UNIVERSITY AVE , QUEEN ST W ,05/15/1932,43.650827,-79.386628,09-17-2016,23078,10824,2016,Saturday
81, UNIVERSITY AVE , DUNDAS ST W ,06/28/1928,43.654812,-79.388484,11-10-2016,30191,28927,2016,Thursday
82, UNIVERSITY AVE , ELM ST ,06/17/1958,43.656323,-79.388959,11-10-2016,26595,17276,2016,Thursday
83, UNIVERSITY AVE , COLLEGE ST ,06/28/1928,43.6598474,-79.39049,01-21-2017,20732,12177,2017,Saturday
84, QUEENS PARK CRES E , WELLESLEY ST W ,07/26/1950,43.6636098,-79.390626,11-09-2016,15472,5941,2016,Wednesday
85, QUEENS PARK CRES E , ST JOSEPH ST ,11/24/1947,43.6659353,-79.391879,12-08-2009,12427,1217,2009,Tuesday
86, AVENUE RD , BLOOR ST W ,07/21/1928,43.668685,-79.394119,01-11-2018,24059,14885,2018,Thursday
87, EGLINTON AVE E , BRENTCLIFFE RD ,07/04/1966,43.7145838,-79.359791,03-16-2011,26029,1107,2011,Wednesday
88, EGLINTON AVE E , LAIRD DR ,01/31/1958,43.713573,-79.364752,04-22-2017,19362,2018,2017,Saturday
89, EGLINTON AVE E , RUMSEY RD ,12/29/1958,43.7125627,-79.369606,03-21-2012,18995,716,2012,Wednesday
90, EGLINTON AVE E , BAYVIEW AVE ,03/21/1960,43.711056,-79.377114,03-29-2012,30378,2880,2012,Thursday
91, EGLINTON AVE E , BANFF RD ,08/10/1953,43.7100093,-79.382221,07-28-2010,16885,841,2010,Wednesday
92, MOUNT PLEASANT RD , EGLINTON AVE E ,06/29/1939,43.7084166,-79.390153,01-09-2017,20734,6602,2017,Monday
93, EGLINTON AVE E , REDPATH AVE ,05/30/1961,43.7078669,-79.39279,08-25-2009,14372,6034,2009,Tuesday
94, EGLINTON AVE W , DUPLEX AVE ,10/04/1953,43.7063458,-79.400252,10-29-2012,15743,1967,2012,Monday
95, EGLINTON AVE W , ORIOLE PKWY ,12/24/1954,43.7051068,-79.406125,10-29-2012,13295,488,2012,Monday
96, AVENUE RD , EGLINTON AVE W ,01/08/1937,43.7046104,-79.408474,10-15-2012,26329,3717,2012,Monday
97, EGLINTON AVE W , HEDDINGTON AVE ,12/20/1952,43.7034761,-79.41388,04-18-2011,14096,2607,2011,Monday
98, EGLINTON AVE W , CHAPLIN CRES ,01/01/1967,43.7027131,-79.417444,10-15-2012,19751,1037,2012,Monday
99, EGLINTON AVE W , SPADINA RD ,08/09/1976,43.7023611,-79.419081,10-29-2012,20620,416,2012,Monday
100, BATHURST ST , EGLINTON AVE W ,01/01/1967,43.7009757,-79.425534,04-11-2015,20547,2504,2015,Saturday
101, EGLINTON AVE W , GLEN CEDAR RD ,07/10/1968,43.6998248,-79.430961,07-09-2013,15770,783,2013,Tuesday
102, EGLINTON AVE W , MARLEE AVE ,02/12/1959,43.698048,-79.439379,10-30-2012,17430,1355,2012,Tuesday
103, EGLINTON AVE W , OAKWOOD AVE ,01/31/1958,43.6972932,-79.442789,10-29-2012,17171,3006,2012,Monday
104, EGLINTON AVE W , NORTHCLIFFE BLVD ,01/31/1958,43.696242,-79.447688,01-10-2018,7308,2900,2018,Wednesday
105, DUFFERIN ST , EGLINTON AVE W ,11/13/1963,43.695684,-79.450293,04-18-2016,22212,8427,2016,Monday
106, EGLINTON AVE W , ENNERDALE RD ,01/31/1958,43.694985,-79.453476,03-21-2012,9802,3069,2012,Wednesday
107, AVENUE RD , ELGIN AVE ,12/09/1989,43.672136,-79.395624,10-18-2016,14811,2673,2016,Tuesday
108, AVENUE RD , DAVENPORT RD ,11/03/1932,43.674705,-79.396651,11-10-2016,31510,4661,2016,Thursday
109, AVENUE RD , DUPONT ST ,07/25/1950,43.67719,-79.397579,08-04-2010,16518,642,2010,Wednesday
110, AVENUE RD , COTTINGHAM ST ,11/19/1948,43.6795475,-79.39855,01-24-2012,18929,662,2012,Tuesday
111, AVENUE RD , BALMORAL AVE ,03/02/1953,43.6843241,-79.400495,11-02-2015,23332,1605,2015,Monday
112, ST CLAIR AVE W , AVENUE RD ,08/26/1929,43.686624,-79.401479,04-18-2016,29303,4696,2016,Monday
113, AVENUE RD , LONSDALE RD ,01/17/1964,43.690773,-79.403027,04-16-2016,19162,807,2016,Saturday
114, ORIOLE PKWY , GORMLEY AVE ,01/28/1957,43.6937297,-79.401852,04-13-2016,19054,195,2016,Wednesday
115, ORIOLE PKWY , CHAPLIN CRES ,07/28/1950,43.6978798,-79.403231,04-18-2016,14555,716,2016,Monday
116, AVENUE RD , CHAPLIN CRES ,09/12/1948,43.698761,-79.406076,04-11-2012,19127,601,2012,Wednesday
117, AVENUE RD , ST CLEMENTS AVE ,06/20/1946,43.710333,-79.411119,01-15-2013,18012,970,2013,Tuesday
118, AVENUE RD , GLENGROVE AVE W ,09/24/1948,43.71696,-79.413444,04-06-2017,22274,416,2017,Thursday
119, AVENUE RD , LAWRENCE AVE W ,01/31/1958,43.7222401,-79.415589,09-04-2013,27712,2674,2013,Wednesday
120, AVENUE RD , FAIRLAWN AVE ,01/31/1958,43.7279,-79.417894,01-23-2012,20920,1089,2012,Monday
121, AVENUE RD , BROOKE AVE ,01/31/1958,43.7332,-79.41951,01-19-2010,22365,1366,2010,Tuesday
122, AVENUE RD , DUNBLAINE AVE ,07/18/1957,43.7359103,-79.4201,12-14-2010,16556,638,2010,Tuesday
123, AVENUE RD , WILSON AVE ,01/31/1958,43.7398627,-79.421636,09-04-2013,33867,1383,2013,Wednesday
124, YONGE ST , YORK MILLS RD ,01/31/1958,43.744121,-79.406724,05-26-2010,38102,1068,2010,Wednesday
125, YONGE ST , SHEPPARD AVE ,01/31/1958,43.7615144,-79.410903,05-18-2016,38219,12257,2016,Wednesday
126, YONGE ST , EMPRESS AVE ,01/29/1959,43.7692945,-79.412931,05-18-2016,21274,11387,2016,Wednesday
127, YONGE ST , CHURCH AVE ,07/27/1960,43.773798,-79.414034,05-18-2016,20746,5164,2016,Wednesday
128, YONGE ST , FINCH AVE ,01/31/1958,43.77979,-79.41556,05-07-2014,29978,13027,2014,Wednesday
129, YONGE ST , CUMMER AVE ,01/31/1958,43.7870804,-79.417327,09-27-2016,28482,2794,2016,Tuesday
130, YONGE ST , MADAWASKA AVE ,01/31/1958,43.7938145,-79.418991,05-07-2014,25570,1461,2014,Wednesday
131, YONGE ST , STEELES AVE ,01/31/1958,43.798049,-79.420064,10-08-2013,42005,6483,2013,Tuesday
132, MOUNT PLEASANT RD , ELM AVE ,02/06/1950,43.6745775,-79.380161,11-01-2016,15595,1057,2016,Tuesday
133, MOUNT PLEASANT RD , INGLEWOOD DR ,05/19/1950,43.6883196,-79.383542,01-17-2017,16844,493,2017,Tuesday
134, MOUNT PLEASANT RD , ST CLAIR AVE E ,05/23/1950,43.690374,-79.383288,01-14-2017,16436,366,2017,Saturday
135, MOUNT PLEASANT RD , MOORE AVE ,02/15/1957,43.6936038,-79.3846212,01-14-2017,14138,237,2017,Saturday
136, MOUNT PLEASANT RD , MERTON ST ,09/12/1948,43.6982046,-79.386448,01-17-2017,19066,744,2017,Tuesday
137, MOUNT PLEASANT RD , DAVISVILLE AVE ,09/28/1948,43.7003222,-79.386937,01-09-2017,20037,2463,2017,Monday
138, MOUNT PLEASANT RD , MANOR RD E ,02/17/1957,43.7043099,-79.388524,03-04-2013,16260,1698,2013,Monday
139, MOUNT PLEASANT RD , BROADWAY AVE ,02/16/1953,43.711129,-79.391181,01-09-2017,16019,1976,2017,Monday
140, MOUNT PLEASANT RD , BLYTHWOOD RD ,08/22/1948,43.7178824,-79.394131,01-19-2017,17509,381,2017,Thursday
141, MOUNT PLEASANT RD , ST LEONARDS AVE ,08/14/1966,43.7223099,-79.395694,01-19-2017,11213,186,2017,Thursday
142, MOUNT PLEASANT RD , LAWRENCE AVE E ,02/23/1953,43.72623704,-79.39679056,01-16-2017,16832,290,2017,Monday
143, KINGSTON RD , MORNINGSIDE AVE ,03/23/1962,43.770604,-79.186884,02-27-2016,25440,2070,2016,Saturday
144, KINGSTON RD , LAWRENCE AVE E ,01/21/1960,43.7676558,-79.189555,04-20-2016,32159,2590,2016,Wednesday
145, KINGSTON RD , GALLOWAY RD ,01/31/1958,43.7621101,-79.1947327,10-22-2014,23952,850,2014,Wednesday
146, KINGSTON RD , GUILDWOOD PKWY ,12/11/1962,43.749649,-79.205992,03-25-2010,24763,258,2010,Thursday
147, KINGSTON RD , EGLINTON AVE E ,05/04/1956,43.7437557,-79.211651,10-22-2014,26434,306,2014,Wednesday
148, KINGSTON RD , MARKHAM RD ,10/31/1960,43.738817,-79.217042,10-22-2014,21905,652,2014,Wednesday
149, KINGSTON RD , MCCOWAN RD ,12/02/1964,43.725113,-79.232452,10-15-2009,29118,1137,2009,Thursday
150, KINGSTON RD , ST CLAIR AVE E ,01/12/1958,43.721858,-79.236215,12-14-2016,22911,604,2016,Wednesday
151, KINGSTON RD , MIDLAND AVE ,01/01/1957,43.711111,-79.248196,06-24-2010,21013,1644,2010,Thursday
152, KINGSTON RD , SANDOWN AVE ,01/21/1963,43.7087694,-79.249759,12-03-2009,22525,701,2009,Thursday
153, KINGSTON RD , CLAREMORE AVE ,01/31/1958,43.703931,-79.252775,12-07-2009,20066,394,2009,Monday
154, KINGSTON RD , BIRCHMOUNT RD ,06/23/1961,43.6930141,-79.262326,04-22-2017,13485,286,2017,Saturday
155, KINGSTON RD , BIRCHCLIFF AVE ,01/31/1958,43.691469,-79.264762,11-11-2015,10312,559,2015,Wednesday
156, KINGSTON RD , WARDEN AVE ,01/31/1958,43.6877698,-79.270928,04-22-2017,14473,700,2017,Saturday
157, KINGSTON RD , FALLINGBROOK RD ,01/31/1958,43.6822709,-79.279219,11-11-2015,12928,895,2015,Wednesday
158, KINGSTON RD , VICTORIA PARK AVE ,12/15/1948,43.6808074,-79.284041,04-22-2017,14869,2506,2017,Saturday
159, KINGSTON RD , BEECH AVE ,05/03/1953,43.6802604,-79.2907,12-13-2016,11564,821,2016,Tuesday
160, KINGSTON RD , MAIN ST ,12/15/1948,43.678903,-79.29801,04-22-2017,16657,1640,2017,Saturday
161, KINGSTON RD , WAVERLEY RD ,03/01/1957,43.67695,-79.304104,11-11-2015,12652,778,2015,Wednesday
162, KINGSTON RD , WOODBINE AVE ,06/09/1929,43.67394,-79.307902,04-22-2017,23556,954,2017,Saturday
163, KINGSTON RD , DUNDAS ST E ,03/03/1953,43.669951,-79.311169,04-22-2017,11441,1020,2017,Saturday
164, KINGSTON RD , BRIMLEY RD ,05/11/1964,43.718239,-79.240372,06-28-2010,21729,790,2010,Monday
165, CHURCH ST , PARK RD ,08/08/1966,43.672219,-79.384788,11-08-2016,10903,2212,2016,Tuesday
166, UNIVERSITY AVE , ARMOURY ST ,09/17/1965,43.653099,-79.387585,11-10-2016,23658,7660,2016,Thursday
167, BAYVIEW AVE , NESBITT DR ,12/17/1959,43.694104,-79.366284,05-19-2016,18084,52,2016,Thursday
168, QUEEN ST E , COXWELL AVE ,10/15/1948,43.666345,-79.316558,05-07-2016,9821,2920,2016,Saturday
169, BAYVIEW AVE , MOORE AVE ,03/15/1960,43.6967298,-79.371732,01-17-2018,22923,753,2018,Wednesday
170, BAYVIEW AVE , MCRAE DR ,07/27/1962,43.70096,-79.373324,12-14-2010,20257,982,2010,Tuesday
171, BAYVIEW AVE , MILLWOOD RD ,03/21/1960,43.7042575,-79.374587,12-07-2010,18168,2599,2010,Tuesday
172, BAYVIEW AVE , MANOR RD E ,09/26/1958,43.7069178,-79.375617,06-14-2016,13751,2011,2016,Tuesday
173, AVENUE RD , EDMUND AVE ,08/16/1965,43.6825716,-79.39976,01-22-2014,21764,702,2014,Wednesday
174, QUEEN ST E , RIVER ST ,04/11/1954,43.6574,-79.35654,05-22-2014,8869,1047,2014,Thursday
175, RIVER ST , SHUTER ST ,07/01/1957,43.659502,-79.357445,06-16-2008,6776,718,2008,Monday
176, GERRARD ST E , RIVER ST ,06/15/1954,43.6636874,-79.35923,08-03-2016,12274,1068,2016,Wednesday
177, BAYVIEW AVE , RIVER ST ,09/30/1959,43.6658819,-79.357365,01-19-2011,11198,103,2011,Wednesday
178, DANFORTH AVE , SIBLEY AVE ,04/09/1964,43.6902727,-79.292675,01-09-2014,11764,1530,2014,Thursday
179, BAYVIEW AVE , BROADWAY AVE ,05/10/1961,43.7139,-79.377589,07-08-2017,16962,1133,2017,Saturday
180, DUNDAS ST W , OSSINGTON AVE ,04/09/1929,43.6493419,-79.42078,04-11-2015,11860,7315,2015,Saturday
181, DUNDAS ST W , LANSDOWNE AVE ,10/14/1948,43.6501405,-79.439714,04-11-2015,13572,2756,2015,Saturday
182, DUNDAS ST W , DOVERCOURT RD ,05/16/1955,43.6494457,-79.424738,03-20-2012,14775,3301,2012,Tuesday
183, DUNDAS ST W , BROCK AVE ,12/17/1952,43.6498834,-79.435598,04-08-2015,10205,2094,2015,Wednesday
184, YORKLAND RD , HERONS HILL WAY ,06/25/1981,43.7744125,-79.337132,07-16-2012,9900,840,2012,Monday
185, JANE ST , DUNDAS ST W ,01/31/1958,43.665693,-79.491175,05-07-2016,23158,1243,2016,Saturday
186, DUNDAS ST W , RUNNYMEDE RD ,10/22/1948,43.665584,-79.482104,05-07-2016,18021,1280,2016,Saturday
187, DUNDAS ST W , PACIFIC AVE ,09/29/1961,43.6654376,-79.468576,05-10-2016,9675,2789,2016,Tuesday
188, DUNDAS ST W , KEELE ST ,04/07/1928,43.6653881,-79.464561,05-07-2016,19464,4643,2016,Saturday
189, BAYVIEW AVE , POST RD ,01/13/1978,43.7340769,-79.381419,05-10-2011,27993,564,2011,Tuesday
190, DUFFERIN ST , DUNDAS ST W ,11/17/1948,43.6496233,-79.431438,04-11-2015,14442,5244,2015,Saturday
191, EGLINTON AVE E , BELLAMY RD N ,05/18/1965,43.740245,-79.232044,03-28-2012,15975,1508,2012,Wednesday
192, EGLINTON AVE E , MCCOWAN RD ,10/28/1966,43.7388424,-79.238405,03-01-2012,18352,987,2012,Thursday
193, BAY ST , GROSVENOR ST ,11/21/1966,43.6625165,-79.38637,07-28-2010,11998,6448,2010,Wednesday
194, ST CLAIR AVE W , EARLSCOURT AVE ,11/17/1966,43.676982,-79.447423,08-09-2010,7138,1178,2010,Monday
195, DIXON RD , CITY VIEW DR ,12/12/1966,43.6902252,-79.57703233,11-29-2016,21314,484,2016,Tuesday
196, DUNDAS ST W , BATHURST ST ,08/27/1953,43.652296,-79.406015,04-11-2015,15414,10194,2015,Saturday
197, GERRARD ST E , SACKVILLE ST ,10/07/1961,43.662597,-79.364003,07-22-2009,9592,2707,2009,Wednesday
198, SIMCOE ST , ADELAIDE ST W ,05/13/1960,43.6486354,-79.386558,08-31-2015,7279,6248,2015,Monday
199, KING ST W , SIMCOE ST ,05/13/1960,43.647371,-79.38605,05-17-2017,8437,25628,2017,Wednesday
200, BAYVIEW AVE , BLYTHWOOD RD ,01/31/1958,43.7209801,-79.378926,03-23-2011,24828,765,2011,Wednesday
201, KING ST W , BATHURST ST ,06/15/1928,43.643904,-79.40267,09-17-2016,15478,7878,2016,Saturday
202, VICTORIA PARK AVE , CRAIGTON DR ,09/08/1984,43.726712,-79.303485,01-26-2011,23584,1515,2011,Wednesday
203, LAKE SHORE BLVD E , LOWER SHERBOURNE ST ,02/26/1953,43.646303,-79.366295,09-07-2017,13327,952,2017,Thursday
204, HARBOUR ST , YORK ST ,01/01/1962,43.641006,-79.380705,04-21-2009,13737,2168,2009,Tuesday
205, LAKE SHORE BLVD W , YORK ST ,01/01/1958,43.6416093,-79.380953,08-21-2012,24814,7285,2012,Tuesday
206, LAKE SHORE BLVD E , LESLIE ST ,12/14/1955,43.659109,-79.328373,05-27-2013,27371,764,2013,Monday
207, LAKE SHORE BLVD E , CARLAW AVE ,06/20/1966,43.655081,-79.337519,10-15-2012,31363,624,2012,Monday
208, LAKE SHORE BLVD E , DON ROADWAY ,11/22/1963,43.6510701,-79.346973,05-27-2013,10974,41,2013,Monday
209, LAKE SHORE BLVD E , PARLIAMENT ST ,10/24/1950,43.6477572,-79.361271,08-16-2012,15771,601,2012,Thursday
210, LAKE SHORE BLVD E , LOWER JARVIS ST ,05/05/1950,43.645501,-79.369794,08-25-2012,22735,1895,2012,Saturday
211, YONGE ST , LAKE SHORE BLVD W ,03/15/1932,43.644197,-79.3758602,09-08-2012,10520,2020,2012,Saturday
212, LAKE SHORE BLVD W , BAY ST ,03/14/1932,43.64317,-79.37791,08-22-2012,17008,13149,2012,Wednesday
213, BAY ST , HARBOUR ST ,03/14/1932,43.6421004,-79.377444,06-09-2009,18261,7776,2009,Tuesday
214, ADELAIDE ST E , PARLIAMENT ST ,06/11/1964,43.653562,-79.363581,07-29-2010,9398,685,2010,Thursday
215, LAKE SHORE BLVD W , SPADINA AVE ,09/12/1948,43.638474,-79.392196,10-06-2012,24526,854,2012,Saturday
216, LAKE SHORE BLVD W , FLEET ST ,04/13/1942,43.636444,-79.399607,05-27-2013,26327,2277,2013,Monday
217, EGLINTON AVE E , FALMOUTH AVE ,08/23/1966,43.735594,-79.253201,03-28-2012,20253,1345,2012,Wednesday
218, LAKE SHORE BLVD W , BURLINGTON ST ,05/24/1967,43.6172919,-79.487299,11-25-2015,8502,1159,2015,Wednesday
219, CHAPLIN CRES , ROSELAWN AVE ,01/01/1967,43.7056982,-79.423936,06-08-2015,8121,751,2015,Monday
220, EGLINTON AVE E , FORMAN AVE ,08/09/1966,43.7092057,-79.386196,05-24-2011,14649,872,2011,Tuesday
221, LAKE SHORE BLVD W , STADIUM RD ,11/17/1948,43.635866,-79.401893,05-26-2011,21335,717,2011,Thursday
222, LAKE SHORE BLVD W , STRACHAN AVE ,07/04/1961,43.634499,-79.408721,01-24-2018,25571,163,2018,Wednesday
223, RICHMOND ST E , PARLIAMENT ST ,06/11/1964,43.6545488,-79.363998,03-12-2012,14745,1642,2012,Monday
224, LAKE SHORE BLVD W , JAMESON AVE ,01/10/1947,43.6333865,-79.434586,10-03-2017,10490,252,2017,Tuesday
225, CHURCH ST , CHARLES ST E ,05/17/1974,43.6694267,-79.382476,07-28-2011,10905,3660,2011,Thursday
226, LAKE SHORE BLVD W , PARKSIDE DR ,03/01/1949,43.638362,-79.45353,08-13-2013,30083,301,2013,Tuesday
