TCS #, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,Peak_Hr_Vehicle_Volume,Peak_Hr_Pedestrian_Volume,Year,Day
826, COLLEGE ST , AUGUSTA AVE ,12/21/1961,43.65743,-79.40318,01-17-2017,10055,3491,2017,Tuesday
827, COLLEGE ST , BEVERLEY ST ,08/17/1929,43.6587,-79.39598,01-16-2017,13259,16624,2017,Monday
828, COLLEGE ST , GRACE ST ,03/18/1952,43.655,-79.41561,01-14-2017,7478,4262,2017,Saturday
829, COLLEGE ST , OSSINGTON AVE ,10/06/1948,43.65443,-79.42268,01-16-2017,13223,5290,2017,Monday
830, COLLEGE ST , DOVERCOURT RD ,08/10/1948,43.65364,-79.42638,01-16-2017,11340,4611,2017,Monday
831, COLLEGE ST , LANSDOWNE AVE ,10/14/1948,43.651,-79.44002,01-14-2017,11489,1621,2017,Saturday
832, RONCESVALLES AVE , HIGH PARK BLVD ,11/15/1955,43.64636,-79.44903,07-11-2013,6002,2052,2013,Thursday
833, RONCESVALLES AVE , HOWARD PARK AVE ,01/01/1962,43.65152,-79.45104,01-19-2009,8973,1781,2009,Monday
834, HARBORD ST , BRUNSWICK AVE ,05/30/1950,43.66227,-79.40597,04-29-2010,8846,1887,2010,Thursday
835, HARBORD ST , GRACE ST ,03/08/1955,43.65996,-79.41747,05-12-2010,9549,1833,2010,Wednesday
836, OSSINGTON AVE , HARBORD ST ,09/20/1956,43.65854,-79.42431,04-26-2012,11364,894,2012,Thursday
837, ST GEORGE ST , WILLCOCKS ST ,01/24/1963,43.6621,-79.3976,02-06-2012,5840,5051,2012,Monday
838, ST GEORGE ST , HARBORD ST ,11/19/1948,43.66411,-79.39841,01-13-2010,10431,21163,2010,Wednesday
839, HOSKIN AVE , TOWER RD ,09/20/1960,43.6647,-79.39572,10-03-2011,6686,3033,2011,Monday
840, DUPONT ST , SPADINA RD ,03/07/1941,43.67488,-79.40711,04-28-2016,20652,4549,2016,Thursday
841, DUPONT ST , CHRISTIE ST ,01/04/1946,43.67165,-79.42156,06-11-2016,15016,2610,2016,Saturday
842, DUPONT ST , OSSINGTON AVE ,08/29/1952,43.67011,-79.42904,06-11-2016,15570,1091,2016,Saturday
843, DOVERCOURT RD , DUPONT ST ,06/20/1957,43.66973,-79.43273,06-11-2016,15077,691,2016,Saturday
844, LANSDOWNE AVE , DUPONT ST ,10/15/1948,43.66675,-79.44642,06-11-2016,18677,2331,2016,Saturday
845, DUPONT ST , SYMINGTON AVE ,05/31/1950,43.66576,-79.45126,06-11-2016,13417,1581,2016,Saturday
846, ANNETTE ST , HIGH PARK AVE ,01/06/1950,43.66288,-79.46924,05-28-2009,10236,1068,2009,Thursday
847, ANNETTE ST , RUNNYMEDE RD ,01/10/1948,43.66006,-79.47997,08-11-2011,12443,1346,2011,Thursday
848, RUNNYMEDE RD , ST JOHNS RD ,02/23/1966,43.66382,-79.48134,08-20-2009,7148,765,2009,Thursday
849, HALLAM ST , DOVERCOURT RD ,06/16/1961,43.6671718,-79.4316982,06-14-2012,7058,1267,2012,Thursday
850, OSSINGTON AVE , HALLAM ST ,01/03/1957,43.66796,-79.42813,08-15-2013,8371,699,2013,Thursday
851, LANSDOWNE AVE , WALLACE AVE ,11/27/1961,43.6623561,-79.4444271,08-27-2012,10502,1974,2012,Monday
852, SPADINA RD , LONSDALE RD ,01/01/1967,43.68869,-79.41265,08-13-2009,8695,4816,2009,Thursday
853, SPADINA RD , OLD FOREST HILL RD ,01/01/1967,43.69901,-79.41704,12-11-2008,9339,664,2008,Thursday
854, DUPLEX AVE , CASTLEFIELD AVE ,06/03/1954,43.71149,-79.40125,10-10-2012,7313,1144,2012,Wednesday
855, DUPLEX AVE , GLENGROVE AVE W ,07/04/1953,43.718891,-79.403949,10-22-2012,6313,720,2012,Monday
856, YONGE ST , PATRICIA AVE ,09/16/1977,43.79026,-79.41813,07-03-2012,24599,1121,2012,Tuesday
857, WILSON AVE , DUBRAY AVE ,07/01/1970,43.72821,-79.47775,03-08-2016,17962,1641,2016,Tuesday
858, LAWRENCE AVE E , ORTON PARK RD ,10/14/1969,43.76407,-79.20563,12-16-2010,15279,654,2010,Thursday
859, DANFORTH RD , SAVARIN ST ,08/01/1970,43.74324,-79.24503,05-26-2016,13257,748,2016,Thursday
860, ST CLAIR AVE W , DEER PARK CRES ,09/18/1969,43.6873,-79.398,08-24-2015,11639,6520,2015,Monday
861, SHEPPARD AVE W , ARROW RD ,02/01/1970,43.73574,-79.52934,03-01-2014,10062,34,2014,Saturday
862, SHEPPARD AVE E , MIDLAND AVE ,08/27/1969,43.78537,-79.27855,12-10-2016,24715,1223,2016,Saturday
863, SHEPPARD AVE E , ALLANFORD RD ,10/12/1969,43.78214,-79.29346,04-02-2014,14419,1398,2014,Wednesday
864, VICTORIA PARK AVE , CONSUMERS RD ,08/24/1971,43.77194,-79.32155,10-17-2013,31063,2504,2013,Thursday
865, EVANS AVE , EVANS W 427 C N RAMP ,11/20/1969,43.61125,-79.54672,11-24-2016,14078,51,2016,Thursday
866, EVANS AVE , 427 C S EVANS RAMP ,08/07/1969,43.61055844,-79.54933855,11-24-2016,13799,208,2016,Thursday
867, YONGE ST , GROSVENOR ST ,02/17/1970,43.66301,-79.38376,11-07-2016,8449,11734,2016,Monday
868, LESLIE ST , FINCH AVE E ,06/25/1969,43.79005,-79.36812,11-23-2015,29661,1294,2015,Monday
869, FINCH AVE E , DON MILLS RD ,12/30/1970,43.79268,-79.35472,02-10-2011,32467,2482,2011,Thursday
870, FINCH AVE W , NORFINCH DR ,11/27/1969,43.75597,-79.52428,09-25-2012,36041,1708,2012,Tuesday
871, WARDEN AVE , HUNTINGWOOD DR ,05/02/1970,43.7855,-79.31094,02-06-2012,20990,341,2012,Monday
872, BAYVIEW AVE , GARNIER CRT ,11/26/1986,43.79915,-79.39516,01-30-2018,16921,640,2018,Tuesday
873, DUFFERIN ST , PLAYFAIR AVE ,01/05/1990,43.71071,-79.45401,04-11-2016,17383,1486,2016,Monday
874, BURNHAMTHORPE RD , RENFORTH DR ,10/11/1969,43.643357,-79.5724476,12-05-2016,20486,312,2016,Monday
875, BURNHAMTHORPE RD , THE WEST MALL ,06/17/1969,43.64463,-79.5672,12-05-2016,26965,1668,2016,Monday
876, QUEEN ST E , PAPE AVE ,08/31/1970,43.66163,-79.33767,08-27-2009,8561,2583,2009,Thursday
877, MARKHAM RD , PAINTED POST DR ,12/19/1969,43.76762,-79.22833,04-08-2014,15510,500,2014,Tuesday
878, MARKHAM RD , PROGRESS AVE ,07/09/1969,43.78183,-79.23393,04-05-2014,31295,475,2014,Saturday
879, MARTIN GROVE RD , RATHBURN RD ,09/29/1969,43.65711,-79.55519,05-09-2016,13280,152,2016,Monday
880, EGLINTON AVE W , BLACKTHORN AVE ,06/08/1970,43.69198,-79.46535,10-15-2012,14756,743,2012,Monday
881, DUNDAS ST W , CLOVERDALE MALL ,12/18/1969,43.62894968,-79.55513285,04-12-2017,20729,132,2017,Wednesday
882, DUNDAS ST W , THE WEST MALL ,07/07/1972,43.62799015,-79.55909157,12-12-2017,28800,33,2017,Tuesday
883, DUNDAS ST W , NEILSON DR ,09/18/1969,43.62738,-79.56237,11-25-2015,28100,223,2015,Wednesday
884, BERMONDSEY RD , SUNRISE AVE ,07/29/1970,43.71699,-79.31331,02-19-2013,8166,142,2013,Tuesday
885, BIRCHMOUNT RD , COMSTOCK RD ,08/13/1970,43.72372,-79.27531,12-14-2016,10556,217,2016,Wednesday
