" YONGE ST ",1817278
" BATHURST ST ",1072747
" SHEPPARD AVE E ",1016570
" EGLINTON AVE E ",987919
" LAWRENCE AVE E ",957381
" STEELES AVE E ",943103
" STEELES AVE W ",935856
" DUNDAS ST W ",928965
" EGLINTON AVE W ",903547
" KINGSTON RD ",875668
